S3D
I=24,J=27,K=3
120.0, 140.0, 0.0, 2163.00000000
120.0, 150.0, 0.0, 2005.83605957
120.0, 160.0, 0.0, 2022.46105957
120.0, 170.0, 0.0, 1682.65600586
120.0, 180.0, 0.0, 2072.40600586
120.0, 190.0, 0.0, 2040.78894043
120.0, 200.0, 0.0, 2073.21093750
120.0, 210.0, 0.0, 2037.65600586
120.0, 220.0, 0.0, 1923.06201172
120.0, 230.0, 0.0, 1843.13305664
120.0, 240.0, 0.0, 1852.50000000
120.0, 250.0, 0.0, 1831.11694336
120.0, 260.0, 0.0, 1771.34399414
130.0, 0.0, 0.0, 1349.12500000
130.0, 10.0, 0.0, 1648.77294922
130.0, 20.0, 0.0, 1879.75000000
130.0, 30.0, 0.0, 2051.65600586
130.0, 40.0, 0.0, 2154.56201172
130.0, 50.0, 0.0, 2353.07788086
130.0, 60.0, 0.0, 2449.89111328
130.0, 70.0, 0.0, 2488.33593750
130.0, 80.0, 0.0, 2554.72705078
130.0, 90.0, 0.0, 2293.71899414
130.0, 100.0, 0.0, 2457.54711914
130.0, 110.0, 0.0, 2508.21093750
130.0, 120.0, 0.0, 2507.21899414
130.0, 130.0, 0.0, 2404.85205078
130.0, 140.0, 0.0, 2333.14794922
130.0, 150.0, 0.0, 2283.83593750
130.0, 160.0, 0.0, 1992.75000000
130.0, 170.0, 0.0, 2089.12500000
130.0, 180.0, 0.0, 1611.08605957
130.0, 190.0, 0.0, 2103.40600586
130.0, 200.0, 0.0, 2117.47705078
130.0, 210.0, 0.0, 2151.29711914
130.0, 220.0, 0.0, 2094.63305664
130.0, 230.0, 0.0, 2027.85900879
130.0, 240.0, 0.0, 1978.42199707
130.0, 250.0, 0.0, 1900.98400879
130.0, 260.0, 0.0, 1832.81994629
140.0, 0.0, 0.0, 1376.21899414
140.0, 10.0, 0.0, 1460.35900879
140.0, 20.0, 0.0, 1713.10900879
140.0, 30.0, 0.0, 2019.28100586
140.0, 40.0, 0.0, 2206.88305664
140.0, 50.0, 0.0, 2477.70288086
140.0, 60.0, 0.0, 2587.09399414
140.0, 70.0, 0.0, 2526.25000000
140.0, 80.0, 0.0, 2584.33593750
140.0, 90.0, 0.0, 2495.39794922
140.0, 100.0, 0.0, 2417.26611328
140.0, 110.0, 0.0, 2544.05493164
140.0, 120.0, 0.0, 2619.70288086
140.0, 130.0, 0.0, 2562.53100586
140.0, 140.0, 0.0, 2470.67211914
140.0, 150.0, 0.0, 2311.92993164
140.0, 160.0, 0.0, 2127.25000000
140.0, 170.0, 0.0, 2003.60900879
140.0, 180.0, 0.0, 1739.28894043
140.0, 190.0, 0.0, 1798.94494629
140.0, 200.0, 0.0, 2158.21093750
140.0, 210.0, 0.0, 2181.35888672
140.0, 220.0, 0.0, 2168.71093750
140.0, 230.0, 0.0, 2109.99194336
140.0, 240.0, 0.0, 2011.60205078
140.0, 250.0, 0.0, 1904.21105957
140.0, 260.0, 0.0, 1797.21105957
150.0, 0.0, 0.0, 1201.39099121
150.0, 10.0, 0.0, 1310.21899414
150.0, 20.0, 0.0, 1672.46105957
150.0, 30.0, 0.0, 2033.92199707
150.0, 40.0, 0.0, 2185.62500000
150.0, 50.0, 0.0, 2368.51611328
150.0, 60.0, 0.0, 2490.88305664
150.0, 70.0, 0.0, 2512.86694336
150.0, 80.0, 0.0, 2614.99194336
150.0, 90.0, 0.0, 2682.27294922
150.0, 100.0, 0.0, 2687.68798828
150.0, 110.0, 0.0, 2652.94506836
150.0, 120.0, 0.0, 2706.71093750
150.0, 130.0, 0.0, 2628.57788086
150.0, 140.0, 0.0, 2480.06201172
150.0, 150.0, 0.0, 2339.35888672
150.0, 160.0, 0.0, 2136.38305664
150.0, 170.0, 0.0, 2063.07006836
150.0, 180.0, 0.0, 1966.90600586
150.0, 190.0, 0.0, 1470.10205078
150.0, 200.0, 0.0, 1807.46899414
150.0, 210.0, 0.0, 2152.23388672
150.0, 220.0, 0.0, 2186.09399414
150.0, 230.0, 0.0, 2142.85888672
150.0, 240.0, 0.0, 2022.46105957
150.0, 250.0, 0.0, 1878.41394043
150.0, 260.0, 0.0, 1739.72705078
160.0, 0.0, 0.0, 1127.22705078
160.0, 10.0, 0.0, 1529.04699707
160.0, 20.0, 0.0, 1929.04699707
160.0, 30.0, 0.0, 2030.57800293
160.0, 40.0, 0.0, 2297.29711914
160.0, 50.0, 0.0, 2428.01611328
160.0, 60.0, 0.0, 2578.80493164
160.0, 70.0, 0.0, 2652.04711914
160.0, 80.0, 0.0, 2710.22705078
160.0, 90.0, 0.0, 2757.32788086
160.0, 100.0, 0.0, 2747.00805664
160.0, 110.0, 0.0, 2696.00805664
160.0, 120.0, 0.0, 2647.73388672
160.0, 130.0, 0.0, 2520.51611328
160.0, 140.0, 0.0, 2389.65600586
160.0, 150.0, 0.0, 2207.64111328
160.0, 160.0, 0.0, 2080.07006836
160.0, 170.0, 0.0, 1973.26599121
160.0, 180.0, 0.0, 1944.63305664
160.0, 190.0, 0.0, 1760.24194336
160.0, 200.0, 0.0, 1619.64794922
160.0, 210.0, 0.0, 1992.19494629
160.0, 220.0, 0.0, 2075.70288086
160.0, 230.0, 0.0, 2075.57788086
160.0, 240.0, 0.0, 1973.91394043
160.0, 250.0, 0.0, 1804.41394043
160.0, 260.0, 0.0, 1652.00000000
170.0, 0.0, 0.0, 900.49218750
170.0, 10.0, 0.0, 1337.17199707
170.0, 20.0, 0.0, 1887.56201172
170.0, 30.0, 0.0, 2161.47705078
170.0, 40.0, 0.0, 2342.17993164
170.0, 50.0, 0.0, 2460.45288086
170.0, 60.0, 0.0, 2530.64794922
170.0, 70.0, 0.0, 2608.01611328
170.0, 80.0, 0.0, 2711.75000000
170.0, 90.0, 0.0, 2687.93798828
170.0, 100.0, 0.0, 2650.75805664
170.0, 110.0, 0.0, 2707.03100586
170.0, 120.0, 0.0, 2631.49194336
170.0, 130.0, 0.0, 2393.56201172
170.0, 140.0, 0.0, 2205.71093750
170.0, 150.0, 0.0, 2056.80493164
170.0, 160.0, 0.0, 1940.96105957
170.0, 170.0, 0.0, 1842.97705078
170.0, 180.0, 0.0, 1799.58605957
170.0, 190.0, 0.0, 1728.58605957
170.0, 200.0, 0.0, 1409.31994629
170.0, 210.0, 0.0, 1718.91394043
170.0, 220.0, 0.0, 1817.91394043
170.0, 230.0, 0.0, 1966.13305664
170.0, 240.0, 0.0, 1905.14794922
170.0, 250.0, 0.0, 1714.17199707
170.0, 260.0, 0.0, 1543.77294922
180.0, 0.0, 0.0, 1341.81201172
180.0, 10.0, 0.0, 1096.81201172
180.0, 20.0, 0.0, 2221.44506836
180.0, 30.0, 0.0, 2351.28906250
180.0, 40.0, 0.0, 2375.62500000
180.0, 50.0, 0.0, 2394.60888672
180.0, 60.0, 0.0, 2464.81201172
180.0, 70.0, 0.0, 2520.21899414
180.0, 80.0, 0.0, 2637.03906250
180.0, 90.0, 0.0, 2593.74194336
180.0, 100.0, 0.0, 2661.28906250
180.0, 110.0, 0.0, 2614.49194336
180.0, 120.0, 0.0, 2527.21093750
180.0, 130.0, 0.0, 2388.50805664
180.0, 140.0, 0.0, 2226.91406250
180.0, 150.0, 0.0, 2030.53100586
180.0, 160.0, 0.0, 1953.77294922
180.0, 170.0, 0.0, 1941.86694336
180.0, 180.0, 0.0, 1756.76599121
180.0, 190.0, 0.0, 1621.35900879
180.0, 200.0, 0.0, 1447.88305664
180.0, 210.0, 0.0, 1559.67199707
180.0, 220.0, 0.0, 1476.03100586
180.0, 230.0, 0.0, 1856.05505371
180.0, 240.0, 0.0, 1851.22705078
180.0, 250.0, 0.0, 1651.22705078
180.0, 260.0, 0.0, 1420.09399414
190.0, 0.0, 0.0, 1565.42199707
190.0, 10.0, 0.0, 1755.93005371
190.0, 20.0, 0.0, 2234.32788086
190.0, 30.0, 0.0, 2314.25000000
190.0, 40.0, 0.0, 2318.00000000
190.0, 50.0, 0.0, 2385.58593750
190.0, 60.0, 0.0, 2352.26611328
190.0, 70.0, 0.0, 2382.52294922
190.0, 80.0, 0.0, 2527.14794922
190.0, 90.0, 0.0, 2564.64794922
190.0, 100.0, 0.0, 2565.93798828
190.0, 110.0, 0.0, 2441.78100586
190.0, 120.0, 0.0, 2375.38305664
190.0, 130.0, 0.0, 2254.49194336
190.0, 140.0, 0.0, 2285.23388672
190.0, 150.0, 0.0, 2124.86694336
190.0, 160.0, 0.0, 1960.07800293
190.0, 170.0, 0.0, 2016.69494629
190.0, 180.0, 0.0, 1975.97705078
190.0, 190.0, 0.0, 1976.19494629
190.0, 200.0, 0.0, 1472.86694336
190.0, 210.0, 0.0, 1578.29699707
190.0, 220.0, 0.0, 1448.77294922
190.0, 230.0, 0.0, 1699.53894043
190.0, 240.0, 0.0, 1729.48400879
190.0, 250.0, 0.0, 1536.00000000
190.0, 260.0, 0.0, 1286.66394043
200.0, 0.0, 0.0, 1998.53100586
200.0, 10.0, 0.0, 1659.60900879
200.0, 20.0, 0.0, 2126.48388672
200.0, 30.0, 0.0, 2503.53906250
200.0, 40.0, 0.0, 2386.29711914
200.0, 50.0, 0.0, 2434.43798828
200.0, 60.0, 0.0, 2453.24194336
200.0, 70.0, 0.0, 2332.85888672
200.0, 80.0, 0.0, 2355.24194336
200.0, 90.0, 0.0, 2484.09399414
200.0, 100.0, 0.0, 2458.28100586
200.0, 110.0, 0.0, 2421.17211914
200.0, 120.0, 0.0, 2301.29711914
200.0, 130.0, 0.0, 2229.18798828
200.0, 140.0, 0.0, 2320.57788086
200.0, 150.0, 0.0, 2087.72705078
200.0, 160.0, 0.0, 2161.17993164
200.0, 170.0, 0.0, 2031.93005371
200.0, 180.0, 0.0, 1829.34399414
200.0, 190.0, 0.0, 2064.79711914
200.0, 200.0, 0.0, 2097.88305664
200.0, 210.0, 0.0, 2007.95300293
200.0, 220.0, 0.0, 1827.32800293
200.0, 230.0, 0.0, 1736.84399414
200.0, 240.0, 0.0, 1493.31994629
200.0, 250.0, 0.0, 1442.34399414
200.0, 260.0, 0.0, 1159.85205078
210.0, 0.0, 0.0, 2380.24194336
210.0, 10.0, 0.0, 2445.27294922
210.0, 20.0, 0.0, 2376.20288086
210.0, 30.0, 0.0, 2052.44506836
210.0, 40.0, 0.0, 2541.35205078
210.0, 50.0, 0.0, 2607.21093750
210.0, 60.0, 0.0, 2361.72705078
210.0, 70.0, 0.0, 2183.49194336
210.0, 80.0, 0.0, 2257.56201172
210.0, 90.0, 0.0, 2424.62500000
210.0, 100.0, 0.0, 2486.01611328
210.0, 110.0, 0.0, 2420.14111328
210.0, 120.0, 0.0, 2188.03100586
210.0, 130.0, 0.0, 2308.82006836
210.0, 140.0, 0.0, 2407.25000000
210.0, 150.0, 0.0, 2289.35205078
210.0, 160.0, 0.0, 2054.70288086
210.0, 170.0, 0.0, 2151.39111328
210.0, 180.0, 0.0, 2066.71093750
210.0, 190.0, 0.0, 1949.06201172
210.0, 200.0, 0.0, 1968.26599121
210.0, 210.0, 0.0, 2095.44506836
210.0, 220.0, 0.0, 1683.03100586
210.0, 230.0, 0.0, 1101.76599121
210.0, 240.0, 0.0, 1268.26599121
210.0, 250.0, 0.0, 1154.25000000
210.0, 260.0, 0.0, 1006.64801025
220.0, 0.0, 0.0, 2844.89794922
220.0, 10.0, 0.0, 2572.64111328
220.0, 20.0, 0.0, 2550.11694336
220.0, 30.0, 0.0, 2608.87500000
220.0, 40.0, 0.0, 2614.95288086
220.0, 50.0, 0.0, 2601.53100586
220.0, 60.0, 0.0, 2422.03100586
220.0, 70.0, 0.0, 2202.38305664
220.0, 80.0, 0.0, 2226.34399414
220.0, 90.0, 0.0, 2241.46899414
220.0, 100.0, 0.0, 2373.95288086
220.0, 110.0, 0.0, 2201.23388672
220.0, 120.0, 0.0, 2049.39794922
220.0, 130.0, 0.0, 2063.39111328
220.0, 140.0, 0.0, 2414.45288086
220.0, 150.0, 0.0, 2424.23388672
220.0, 160.0, 0.0, 2353.65600586
220.0, 170.0, 0.0, 2263.14111328
220.0, 180.0, 0.0, 2237.42211914
220.0, 190.0, 0.0, 1974.29699707
220.0, 200.0, 0.0, 1786.75000000
220.0, 210.0, 0.0, 2132.65600586
220.0, 220.0, 0.0, 2079.55493164
220.0, 230.0, 0.0, 1840.56994629
220.0, 240.0, 0.0, 1084.39099121
220.0, 250.0, 0.0, 593.26562500
220.0, 260.0, 0.0, 771.35162354
230.0, 0.0, 0.0, 2819.24194336
230.0, 10.0, 0.0, 2794.69506836
230.0, 20.0, 0.0, 2783.25000000
230.0, 30.0, 0.0, 2615.74194336
