S
I=43,J=43
12.000000, 7.000000, 2.124200
13.000000, 7.000000, 2.082633
14.000000, 7.000000, 2.003617
15.000000, 7.000000, 1.886637
16.000000, 7.000000, 1.733907
17.000000, 7.000000, 1.549658
18.000000, 7.000000, 1.340049
19.000000, 7.000000, 1.112806
20.000000, 7.000000, 0.875479
21.000000, 7.000000, 0.634626
22.000000, 7.000000, 0.395745
23.000000, 7.000000, 0.165430
24.000000, 7.000000, 0.027447
25.000000, 7.000000, 0.199566
26.000000, 7.000000, 0.437929
27.000000, 7.000000, 0.677613
28.000000, 7.000000, 0.919870
29.000000, 7.000000, 1.166370
30.000000, 7.000000, 1.419581
31.000000, 7.000000, 1.713516
32.000000, 7.000000, 2.053659
33.000000, 7.000000, 2.429333
34.000000, 7.000000, 2.844272
35.000000, 7.000000, 3.295824
36.000000, 7.000000, 3.765213
37.000000, 7.000000, 4.202229
38.000000, 7.000000, 4.521858
39.000000, 7.000000, 4.656424
40.000000, 7.000000, 4.620292
41.000000, 7.000000, 4.484724
42.000000, 7.000000, 4.313096
0.000000, 8.000000, 2.994879
1.000000, 8.000000, 2.963740
2.000000, 8.000000, 2.932245
3.000000, 8.000000, 2.886823
4.000000, 8.000000, 2.814158
5.000000, 8.000000, 2.707684
6.000000, 8.000000, 2.578922
7.000000, 8.000000, 2.456015
8.000000, 8.000000, 2.369600
9.000000, 8.000000, 2.327655
10.000000, 8.000000, 2.313448
11.000000, 8.000000, 2.304419
12.000000, 8.000000, 2.280882
13.000000, 8.000000, 2.229262
14.000000, 8.000000, 2.141940
15.000000, 8.000000, 2.015936
16.000000, 8.000000, 1.852403
17.000000, 8.000000, 1.655478
18.000000, 8.000000, 1.431877
19.000000, 8.000000, 1.189232
20.000000, 8.000000, 0.935311
21.000000, 8.000000, 0.678205
22.000000, 8.000000, 0.428234
23.000000, 8.000000, 0.203796
24.000000, 8.000000, 0.101961
25.000000, 8.000000, 0.253379
26.000000, 8.000000, 0.486136
27.000000, 8.000000, 0.729572
28.000000, 8.000000, 0.978745
29.000000, 8.000000, 1.235554
30.000000, 8.000000, 1.499229
31.000000, 8.000000, 1.809410
32.000000, 8.000000, 2.165609
33.000000, 8.000000, 2.570454
34.000000, 8.000000, 3.035839
35.000000, 8.000000, 3.572379
36.000000, 8.000000, 4.175323
37.000000, 8.000000, 4.785178
38.000000, 8.000000, 5.228068
39.000000, 8.000000, 5.322595
40.000000, 8.000000, 5.140742
41.000000, 8.000000, 4.864053
42.000000, 8.000000, 4.589795
0.000000, 9.000000, 3.065712
1.000000, 9.000000, 3.030381
2.000000, 9.000000, 2.993699
3.000000, 9.000000, 2.949092
4.000000, 9.000000, 2.889578
5.000000, 9.000000, 2.813621
6.000000, 9.000000, 2.728299
7.000000, 9.000000, 2.647013
8.000000, 9.000000, 2.587330
9.000000, 9.000000, 2.553707
10.000000, 9.000000, 2.535936
11.000000, 9.000000, 2.519731
12.000000, 9.000000, 2.489648
13.000000, 9.000000, 2.432769
14.000000, 9.000000, 2.339498
15.000000, 9.000000, 2.204526
16.000000, 9.000000, 2.027314
17.000000, 9.000000, 1.812348
18.000000, 9.000000, 1.568222
19.000000, 9.000000, 1.306134
20.000000, 9.000000, 1.037856
21.000000, 9.000000, 0.775564
22.000000, 9.000000, 0.533437
23.000000, 9.000000, 0.343519
24.000000, 9.000000, 0.282268
